"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1952",118,324,243,388.7,2,868.936828303192,24,0.0627626050420168,80,7540,244,167,1004,2940,77,NA,233,NA,NA,9,NA,31260,6855,17160,NA,5,NA
"1953",181,315,251,410,3,513.968163883548,44,0.056980056980057,50,4520,265,189,549,1470,76,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1954",210,290,184,539,6,615.976656784138,44,0.0670241286863271,66,3460,224,94,758,1805,130,NA,159,NA,NA,2,NA,31260,6855,17160,NA,1,NA
"1955",127,298,155,185.6,2,515.962744638572,46,0.049645390070922,43,2550,255,121,522,1230,134,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1956",181,312,278,410,NA,NA,NA,0.0666192508297771,72,6110,240,181,1220,2210,59,82,111,82,2,11,3,31260,6855,17160,1,4,1
"1957",178,301,229.5,565.000000000001,2,522.006284478005,27,0.0639269406392694,53,3800,248,121,1030,1720,127,NA,192.5,NA,NA,2,NA,31260,6855,17160,NA,2,NA
"1958",120,318,251.5,307,3,375.99831397341,13,0.0624026479750779,80,7810,238,125,1158,3110,113,NA,208.5,NA,NA,7,NA,31260,6855,17160,NA,4,NA
"1959",179,296,110,173.4,3,424.985035070214,45,0.0598507462686567,68,1610,228,156,200,885,72,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1960",191,289,140,231,5,174.994802302084,10,0.0658892027837112,61,2090,228,119,361,1330,109,NA,130,NA,NA,1,NA,31260,6855,17160,NA,1,NA
"1961",214,275,229.5,359.8,3,334.26481361126,44,0.102155519742143,35,1630,240,126,294,717,114,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1962",82,287,400,781.1,4,482.099637874763,61,0.0897435897435897,66,3510,221,98,578.8,1685,123,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1963",91,302,230,1110,NA,NA,NA,0.0516749143509707,38,2450,264,261,220,606,3,123,122,123,1,5,1,31260,6855,17160,1,3,1
"1964",76,352,501.5,916.5,1,1159.9681080763,2,0.0288461538461538,96,1460,256,229,460.8,1190,27,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1965",NA,301,NA,NA,2,638.001138736216,1,0.0509951845906902,200,13700,101,39,725.6,3590,62,83,95,82,1,10,3,31260,6855,17160,1,3,1
"1966",43,370,206,369.6,2,1939.88507290473,48,0.169774011299435,135,1780,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1967",NA,372,NA,NA,1,355.994323966716,10,0.037037037037037,108,4830,264,221,779,1920,43,NA,167,NA,NA,1,NA,31260,6855,17160,NA,1,NA
"1968",99,361,700,1152,NA,NA,NA,0.158516694482271,110,1320,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1969",146,294,889.5,1405,6,1719.9051556701,35,0.0706383138313831,55,5430,239,145,1658,3560,94,NA,113.5,112,NA,5,1,31260,6855,17160,NA,2,1
"1970",24,358,110,127,NA,NA,NA,0.139556362852701,241,19500,117,43,1024,1760,74,NA,109.5,113,NA,8,1,31260,6855,17160,NA,2,1
"1971",33,369,589,857.6,5,352.007947899074,0,0.226732673267327,95,3890,274,258,818.2,1800,16,NA,176,NA,NA,1,NA,31260,6855,17160,NA,1,NA
"1972",21,377,361,577,3,588.998510214063,0,0.207282648457505,120,2000,257,224,660.2,1210,33,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1973",101,284,746,983,NA,NA,NA,0.140734221775207,44,3560,240,219,626.4,1790,21,NA,103,NA,NA,1,NA,31260,6855,17160,NA,1,NA
"1974",119,299,933,1442,NA,NA,NA,0.184291760019915,13,4430,286,267,864,2650,19,NA,130,NA,NA,2,NA,31260,6855,17160,NA,2,NA
"1975",68,304,1060,1263,NA,NA,NA,0.125649013499481,55,3880,249,197,812.2,1430,52,NA,175,NA,NA,1,NA,31260,6855,17160,NA,1,NA
"1976",NA,400,NA,NA,NA,NA,NA,0.141975561364281,75,1280,325,319,328,718,6,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,1110,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1978",138,302,572,959.7,2,379.000209075028,0,0.0813008130081301,57,3680,245,173,564.4,2240,72,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
"1979",169,270,787,1112,4,1159.94074220046,12,0.177083333333333,31,3940,239,165,585.8,1600,74,NA,NA,NA,NA,NA,NA,31260,6855,17160,NA,NA,NA
