"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5"
"1969",130,309,220.5,306.6,6,575.980003169488,11,0.0375,76,5500,233,140,915.9,2295,93,NA,114,NA,NA,3,NA,31510,10170,22000,NA,2,NA
"1970",117,280,170,254.8,4,854.995632848681,15,0.0482204362801378,163,24000,117,44,708.5,2310,73,NA,108.5,113,NA,8,1,31510,10170,22000,NA,4,1
"1971",146,323,245.5,422,8,454.992386993402,23,0.044167610419026,65,3390,258,227,705.2,1680,31,NA,176,NA,NA,1,NA,31510,10170,22000,NA,1,NA
"1972",130,307,213.5,597.700000000001,2,625.964988065071,42,0.0306406685236769,115,4180,192,89,502.8,1520,103,NA,NA,NA,NA,NA,NA,31510,10170,22000,NA,NA,NA
"1973",79,305,187,240.6,5,1069.96236963279,10,0.0337096476664822,75,4340,230,159,890.8,1700,71,NA,NA,NA,NA,NA,NA,31510,10170,22000,NA,NA,NA
"1974",172,311,227,356,3,425.997353981142,7,0.0432354020075366,69,4080,242,224,978.1,2095,18,NA,108,NA,NA,6,NA,31510,10170,22000,NA,5,NA
"1975",75,311,287,368.6,8,391.985023632321,27,0.0354609929078014,59,5010,252,135,906.8,1730,117,NA,NA,NA,NA,NA,NA,31510,10170,22000,NA,NA,NA
"1976",199,294,125,157,2,919.989642476895,10,0.034965034965035,68,1210,226,206,284,446,20,NA,NA,NA,NA,NA,NA,31510,10170,22000,NA,NA,NA
"1977",124,311,87,148,6,293.862293628559,44,0.0306154326772883,80,507,231,104,147.3,258.5,127,NA,NA,NA,NA,NA,NA,31510,10170,22000,NA,NA,NA
"1978",179,317,202,377.2,1,161.996040719709,35,0.036036036036036,64,3450,253,184,1056,2360,69,NA,NA,NA,NA,NA,NA,31510,10170,22000,NA,NA,NA
"1979",139,305,201,475.2,4,466.979389669985,50,0.0327868852459016,71,3960,234,104,789.6,1780,130,NA,NA,NA,NA,NA,NA,31510,10170,22000,NA,NA,NA
"1980",170,305,214,321.1,2,1159.98362847742,19,0.0421545667447307,156,4730,149,71,505,1400,78,104,121.5,103,1,6,2,31510,10170,22000,1,2,1
"1981",88,301,135,174.6,3,395.969062581065,38,0.0262709477538375,86,2190,215,106,491,1210,109,NA,NA,NA,NA,NA,NA,31510,10170,22000,NA,NA,NA
"1982",104,306,285,559.7,2,433.996219546941,10,0.04148749388366,93,4290,213,190,831.4,2170,23,NA,135.5,80,NA,9,1,31510,10170,22000,NA,4,1
"1983",58,334,307.5,403.7,3,870.991744196377,22,0.0404082053396557,88,7180,246,202,805,2490,44,NA,163,NA,NA,2,NA,31510,10170,22000,NA,1,NA
"1984",100,294,219,297.8,6,525.997164581622,1,0.0381165919282511,57,2560,237,211,974,1790,26,NA,85,NA,NA,2,NA,31510,10170,22000,NA,1,NA
"1985",162,291,160.5,404.4,2,418.987230504615,10,0.034384236453202,74,2230,217,189,392,664,28,NA,NA,NA,NA,NA,NA,31510,10170,22000,NA,NA,NA
"1986",177,276,210,437,2,234.999977982733,23,0.0454545454545455,130,10000,146,59,630.2,1350,87,139,147,148.5,2,8,3,31510,10170,22000,1,2,2
